,Date,Rate,Open,High,Low,Volume,Change %
580,2019-08-20,1490.23,1485.19,1490.23,1477.19,34.04M,0.45
581,2019-08-19,1483.62,1469.5,1483.62,1465.14,52.12M,1.42
582,2019-08-18,1462.91,1468.22,1475.2,1458.0,20.88M,0.36
583,2019-08-15,1457.61,1470.71,1476.74,1445.05,74.73M,-0.92
584,2019-08-14,1471.14,1509.49,1510.73,1468.15,103.17M,-2.51
585,2019-08-13,1509.06,1492.16,1509.06,1490.03,40.92M,0.61
586,2019-08-12,1499.92,1509.94,1513.99,1495.97,37.81M,-0.51
587,2019-08-08,1507.64,1501.55,1507.64,1494.84,60.06M,1.92
588,2019-08-07,1479.28,1489.91,1501.82,1472.4,57.39M,-0.84
589,2019-08-06,1491.75,1485.59,1497.3,1481.4,70.66M,0.45
590,2019-08-05,1485.09,1504.34,1504.34,1485.09,52.00M,-2.01
591,2019-08-04,1515.61,1501.93,1518.02,1499.55,29.44M,-0.19
592,2019-08-01,1518.43,1508.32,1521.47,1504.68,242.86M,0.32
593,2019-07-31,1513.53,1505.15,1513.95,1505.08,57.57M,0.89
594,2019-07-30,1500.13,1504.83,1505.71,1494.24,66.47M,-0.27
595,2019-07-29,1504.15,1508.82,1510.64,1503.14,45.07M,-0.37
596,2019-07-28,1509.73,1503.13,1510.84,1502.92,27.57M,0.75
597,2019-07-25,1498.45,1510.05,1510.05,1493.17,106.74M,-0.06
598,2019-07-24,1499.37,1484.84,1499.97,1483.82,59.33M,1.07
599,2019-07-23,1483.45,1471.79,1483.62,1468.98,51.62M,0.96
600,2019-07-22,1469.28,1467.02,1472.43,1467.02,32.76M,0.36
601,2019-07-21,1464.05,1459.79,1464.05,1456.87,16.24M,0.13
602,2019-07-18,1462.21,1470.08,1470.57,1460.03,49.70M,-0.77
603,2019-07-17,1473.63,1485.81,1487.84,1473.23,43.75M,-0.99
604,2019-07-16,1488.38,1491.84,1492.68,1486.27,45.44M,-0.19
605,2019-07-15,1491.14,1494.07,1495.07,1488.36,40.86M,-0.25
606,2019-07-14,1494.92,1497.33,1498.59,1493.95,12.64M,0.44
607,2019-07-11,1488.35,1490.64,1491.57,1485.41,40.78M,-0.03
608,2019-07-10,1488.8,1485.85,1490.81,1483.55,74.15M,0.27
609,2019-07-09,1484.79,1472.54,1484.79,1472.31,51.02M,0.38
610,2019-07-08,1479.12,1483.15,1483.38,1477.08,98.21M,-0.58
611,2019-07-07,1487.71,1488.94,1490.15,1486.66,30.67M,-0.21
612,2019-07-04,1490.84,1489.58,1492.04,1486.48,41.67M,0.22
613,2019-07-03,1487.54,1486.14,1489.98,1484.36,61.70M,0.27
614,2019-07-02,1483.5,1485.75,1487.38,1481.53,43.01M,-0.01
615,2019-07-01,1483.72,1488.67,1491.89,1483.72,54.77M,-0.1
616,2019-06-30,1485.16,1477.92,1485.79,1477.92,33.30M,1.19
617,2019-06-27,1467.76,1471.21,1473.29,1465.99,121.66M,0.35
618,2019-06-26,1462.61,1459.62,1466.64,1457.4,48.23M,0.31
619,2019-06-25,1458.11,1461.79,1463.58,1457.82,67.56M,-0.44
620,2019-06-24,1464.49,1467.97,1471.46,1462.81,61.16M,0.01
621,2019-06-23,1464.37,1462.76,1464.48,1461.06,21.83M,0.05
622,2019-06-20,1463.59,1462.98,1467.72,1462.17,106.80M,0.67
623,2019-06-19,1453.83,1448.57,1453.92,1447.53,150.00M,0.29
624,2019-06-18,1449.69,1437.74,1450.84,1433.78,68.82M,0.9
625,2019-06-17,1436.78,1446.88,1446.96,1432.71,65.39M,-0.5
626,2019-06-16,1444.03,1442.51,1446.8,1442.45,13.82M,-0.19
627,2019-06-13,1446.77,1436.14,1446.77,1435.4,53.96M,0.86
628,2019-06-12,1434.4,1435.16,1436.76,1432.61,77.04M,-0.61
629,2019-06-11,1443.21,1449.8,1450.01,1441.6,57.70M,-0.44
630,2019-06-10,1449.56,1446.53,1449.56,1443.73,53.79M,1.31
631,2019-06-06,1430.84,1441.2,1441.43,1430.84,91.92M,-0.35
632,2019-06-05,1435.9,1437.2,1441.55,1432.67,121.00M,0.33
633,2019-06-04,1431.18,1418.53,1431.9,1417.74,61.25M,0.85
634,2019-06-03,1419.08,1416.38,1419.66,1408.11,73.67M,0.24
635,2019-06-02,1415.67,1414.59,1416.04,1408.73,34.42M,-1.34
636,2019-05-30,1434.9,1438.44,1439.66,1427.6,134.04M,0.35
637,2019-05-29,1429.83,1436.35,1437.78,1426.21,133.36M,-1.27
638,2019-05-28,1448.21,1452.36,1453.89,1443.84,279.07M,-0.07
639,2019-05-27,1449.27,1457.21,1460.55,1448.61,68.21M,-0.35
640,2019-05-26,1454.33,1448.78,1454.33,1444.22,47.27M,0.43
641,2019-05-23,1448.11,1459.65,1459.65,1447.52,75.61M,-1.08
642,2019-05-22,1463.9,1453.49,1463.9,1451.52,70.98M,0.69
643,2019-05-21,1453.82,1453.65,1456.76,1447.63,53.24M,0.69
644,2019-05-20,1443.81,1456.35,1458.96,1436.92,57.44M,-0.68
645,2019-05-19,1453.72,1451.76,1456.01,1449.89,24.62M,0.07
646,2019-05-16,1452.69,1437.11,1452.69,1434.98,99.71M,1.54
647,2019-05-15,1430.59,1437.64,1438.7,1421.85,78.68M,-0.38
648,2019-05-14,1436.03,1423.67,1438.46,1423.67,87.35M,1.13
649,2019-05-13,1420.05,1446.04,1447.84,1419.83,71.46M,-2.26
650,2019-05-12,1452.89,1455.14,1455.61,1450.14,30.08M,-0.46
651,2019-05-07,1459.58,1455.42,1464.19,1453.55,137.16M,0.75
652,2019-05-06,1448.68,1442.89,1448.77,1438.82,64.97M,-0.87
653,2019-05-05,1461.44,1463.78,1465.36,1455.58,26.58M,0.27
654,2019-05-02,1457.44,1461.01,1465.41,1452.88,131.77M,-0.6
655,2019-05-01,1466.26,1474.04,1476.91,1461.64,57.06M,-0.16
656,2019-04-30,1468.61,1484.14,1485.74,1467.35,64.25M,-1.25
657,2019-04-29,1487.2,1494.36,1495.32,1487.2,69.98M,-0.51
658,2019-04-28,1494.75,1491.26,1497.13,1491.26,34.89M,0.68
659,2019-04-24,1484.62,1478.52,1484.95,1475.87,87.57M,0.99
660,2019-04-23,1470.05,1467.15,1470.58,1464.53,40.85M,0.58
661,2019-04-22,1461.54,1466.98,1467.4,1459.2,20.58M,-0.46
662,2019-04-21,1468.25,1466.43,1469.13,1466.43,21.63M,0.56
663,2019-04-18,1460.06,1471.21,1471.21,1456.4,63.82M,-0.63
664,2019-04-17,1469.28,1479.01,1480.65,1467.64,60.13M,-0.69
665,2019-04-16,1479.44,1474.12,1481.36,1474.12,84.61M,0.52
666,2019-04-15,1471.78,1475.22,1475.43,1471.03,67.89M,-0.06
667,2019-04-14,1472.72,1466.93,1475.76,1466.93,41.27M,0.74
